"ZIP_Code"|"All_LCC_Enc_Jan__June"|"ALL_LCC_Encounters_2018_JulDec"|"Black"|"White"|"Asian"|"MultiRacial"|"Other"|"Not_Reported"|"HispanicLatino"|"Not_HispanicLatino"|"Unknown"|"Male"|"Female"
"27030"|"0"|"1"|"0"|"0"|"0"|"0"|"0"|"1"|"1"|"0"|"0"|"1"|"0"
"28012"|"1"|"1"|"0"|"1"|"0"|"0"|"0"|"0"|"1"|"0"|"0"|"0"|"1"
"28025"|"4"|"6"|"1"|"2"|"0"|"0"|"1"|"2"|"2"|"1"|"3"|"1"|"5"
"27540"|"0"|"4"|"4"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"4"|"0"|"4"
"28027"|"9"|"3"|"0"|"0"|"0"|"2"|"1"|"0"|"3"|"0"|"0"|"2"|"1"
"28031"|"7"|"9"|"0"|"4"|"0"|"0"|"4"|"1"|"5"|"2"|"2"|"4"|"5"
"28034"|"1"|"5"|"4"|"0"|"0"|"0"|"0"|"1"|"1"|"4"|"0"|"0"|"5"
"28036"|"2"|"1"|"0"|"0"|"0"|"0"|"0"|"1"|"1"|"0"|"0"|"0"|"1"
"28052"|"3"|"3"|"0"|"0"|"0"|"0"|"0"|"3"|"3"|"0"|"0"|"3"|"0"
"28054"|"0"|"2"|"0"|"0"|"0"|"0"|"0"|"2"|"2"|"0"|"0"|"2"|"0"
"28056"|"1"|"4"|"0"|"4"|"0"|"0"|"0"|"0"|"0"|"2"|"2"|"0"|"4"
"28075"|"4"|"4"|"1"|"0"|"0"|"2"|"0"|"1"|"1"|"1"|"2"|"1"|"3"
"28078"|"10"|"7"|"1"|"2"|"0"|"0"|"2"|"2"|"4"|"2"|"1"|"1"|"6"
"28079"|"17"|"2"|"0"|"0"|"0"|"0"|"0"|"2"|"2"|"0"|"0"|"2"|"0"
"28081"|"0"|"2"|"2"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"2"|"0"|"2"
"28092"|"3"|"5"|"0"|"2"|"0"|"0"|"3"|"0"|"5"|"0"|"0"|"2"|"3"
"28104"|"2"|"4"|"2"|"0"|"0"|"0"|"2"|"0"|"0"|"4"|"0"|"1"|"3"
"28105"|"32"|"31"|"5"|"14"|"1"|"3"|"5"|"3"|"10"|"14"|"7"|"7"|"24"
"28106"|"0"|"2"|"2"|"0"|"0"|"0"|"0"|"0"|"0"|"2"|"0"|"2"|"0"
"28108"|"2"|"1"|"0"|"1"|"0"|"0"|"0"|"0"|"0"|"0"|"1"|"0"|"1"
"28110"|"19"|"19"|"1"|"0"|"0"|"3"|"10"|"5"|"14"|"2"|"3"|"1"|"18"
"28112"|"7"|"9"|"0"|"0"|"0"|"0"|"6"|"3"|"7"|"0"|"2"|"4"|"5"
"28120"|"0"|"4"|"2"|"0"|"0"|"0"|"0"|"2"|"0"|"1"|"3"|"0"|"4"
"28134"|"45"|"57"|"2"|"12"|"2"|"3"|"19"|"19"|"45"|"6"|"6"|"27"|"30"
"28164"|"0"|"2"|"0"|"1"|"0"|"0"|"0"|"1"|"1"|"1"|"0"|"0"|"2"
"28173"|"10"|"8"|"2"|"2"|"0"|"0"|"0"|"4"|"6"|"0"|"2"|"4"|"4"
"28174"|"9"|"3"|"0"|"0"|"0"|"0"|"0"|"3"|"3"|"0"|"0"|"3"|"0"
"28202"|"11"|"13"|"2"|"3"|"0"|"0"|"3"|"5"|"7"|"2"|"4"|"3"|"10"
"28203"|"3"|"2"|"1"|"1"|"0"|"0"|"0"|"0"|"0"|"1"|"1"|"1"|"1"
"28204"|"1"|"7"|"0"|"3"|"0"|"0"|"2"|"2"|"0"|"2"|"5"|"4"|"3"
"28205"|"163"|"157"|"22"|"28"|"0"|"11"|"45"|"51"|"109"|"21"|"27"|"47"|"110"
"28206"|"16"|"21"|"6"|"3"|"0"|"1"|"5"|"6"|"9"|"9"|"3"|"3"|"18"
"28207"|"5"|"1"|"0"|"1"|"0"|"0"|"0"|"0"|"0"|"1"|"0"|"1"|"0"
"28208"|"82"|"78"|"18"|"1"|"1"|"1"|"39"|"18"|"46"|"18"|"14"|"15"|"63"
"28209"|"25"|"22"|"0"|"5"|"0"|"1"|"4"|"12"|"15"|"5"|"2"|"9"|"13"
"28210"|"136"|"117"|"4"|"7"|"0"|"3"|"64"|"39"|"89"|"22"|"6"|"44"|"73"
