
zip,city,num_ppl_with_hiv_13to24,num_ppl_with_hiv_25to44,num_ppl_with_hiv_45to59,num_ppl_with_hiv_60plus,num_ppl_with_hiv_asian,num_ppl_with_hiv_black,num_ppl_with_hiv,num_ppl_with_hiv_female,num_ppl_with_hiv_hispanic,num_ppl_with_hiv_male,num_ppl_with_hiv_white,num_new_HIV_diagnoses_btwn_2012_2016_13to24,num_new_HIV_diagnoses_btwn_2012_2016_25to44,num_new_HIV_diagnoses_btwn_2012_2016_45to59,num_new_HIV_diagnoses_btwn_2012_2016_60plus,num_new_HIV_diagnoses_btwn_2012_2016_asian,num_new_HIV_diagnoses_btwn_2012_2016_black,num_new_HIV_diagnoses_btwn_2012_2016,num_new_HIV_diagnoses_btwn_2012_2016_female,num_new_HIV_diagnoses_btwn_2012_2016_hispanic,num_new_HIV_diagnoses_btwn_2012_2016_male,num_new_HIV_diagnoses_btwn_2012_2016_white,rate_ppl_with_hiv_per_100k_13to24,rate_ppl_with_hiv_per_100k_25to44,rate_ppl_with_hiv_per_100k_45to59,rate_ppl_with_hiv_per_100k_60plus,rate_ppl_with_hiv_per_100k_asian,rate_ppl_with_hiv_per_100k_black,rate_ppl_with_hiv_per_100k,rate_denominator,year,rate_ppl_with_hiv_per_100k_female,rate_ppl_with_hiv_per_100k_hispanic,rate_ppl_with_hiv_per_100k_male,rate_ppl_with_hiv_per_100k_white
28206,Charlotte,17,101,185,51,,314,354,121,7,233,18,15,21,15,,,44,53,16,5,37,,883,2883,6819,3564,,4388,3698,100000,2016,2577,768,4777,1542
28214,Charlotte,14,110,80,18,,160,222,61,16,161,31,21,32,8,,,48,62,11,6,51,,264,975,1197,424,,1542,807,100000,2016,423,592,1229,247
28212,Charlotte,25,203,152,49,13,304,429,108,37,321,58,28,75,11,,10,75,116,26,15,90,12,368,1560,2415,1182,1104,2348,1419,100000,2016,683,493,2226,739
28205,Charlotte,22,216,271,86,5,370,595,143,43,452,162,19,60,33,,8,72,116,23,9,93,24,338,1295,3465,1690,287,3203,1648,100000,2016,796,671,2494,1035
28208,Charlotte,21,258,335,112,,626,726,266,17,460,59,40,46,27,7,,102,120,24,5,96,8,330,2726,4940,2498,,3211,2680,100000,2016,1846,896,3627,1425
28216,Charlotte,29,197,263,78,,462,567,171,19,396,61,36,52,23,,,94,115,23,,92,14,336,1364,3044,1245,,1935,1493,100000,2016,824,739,2299,622
28215,Charlotte,26,208,187,51,,374,472,141,40,331,40,22,48,15,,,70,85,18,8,67,5,288,1266,1814,771,,1778,1114,100000,2016,623,593,1676,321
28269,Charlotte,9,172,170,54,,312,405,121,15,284,61,18,34,16,5,,56,73,10,,63,13,80,675,1350,775,,1332,720,100000,2016,407,316,1071,259
28217,Charlotte,14,111,110,27,,193,262,69,27,193,24,20,30,8,,,46,59,10,8,49,,328,1268,2868,1036,,2100,1346,100000,2016,710,500,1981,737
28213,Charlotte,15,130,121,40,,243,306,89,19,217,36,17,37,5,,,49,62,11,8,51,,193,1019,2067,1159,,1680,1026,100000,2016,584,325,1487,467
28210,Charlotte,5,123,96,20,,133,244,51,28,193,73,15,37,9,,,37,64,8,10,56,15,92,887,1188,246,,2573,687,100000,2016,271,604,1155,303
